City,Year,Shell,Volume,Mileage,Transmission,Rudder,Color,Gear,CustomsCleared,Type Engine,Price,Company,Model
Алматы,2016,седан,1.6,47000,механика,слева,серебристый металлик,передний привод,Да,бензин,2900000,ВАЗ (Lada),2190 (седан)
Нур-Султан (Астана),2014,внедорожник,2.7,150000,автомат,слева,белый,полный привод,Да,бензин,14500000,Toyota,Land Cruiser Prado
Алматы,2015,фургон,2.8,107000,механика,слева,серый,,Да,дизель,6300000,ГАЗГАЗель NEXT,
Боралдай,1987,универсал,1.5,393940,механика,слева,белый металлик,полный привод,Да,бензин,550000,Toyota,Tercel
Актобе,2005,кроссовер,3.3,230,автомат,слева,белый металлик,передний привод,Да,газ-бензин,5200000,Lexus,RX 330
Шымкент,1989,седан,2.5,5552558,механика,слева,фиолетовый,задний привод,Да,газ-бензин,1300000,BMW,525
Алматы,2003,фургон,2.9,777,механика,слева,белый,задний привод,Да,газ-бензин,3800000,ГАЗГАЗель,
Балхаш,2011,седан,1.4,148000,механика,слева,белый,передний привод,Да,бензин,3400000,Hyundai,Accent
Алматы,2019,кроссовер,1.3,12700,вариатор,слева,коричневый металлик,,Да,бензин,9000000,Renault,Arkana
Нур-Султан (Астана),2014,кроссовер,2.0,116000,автомат,слева,белый металлик,полный привод,Да,бензин,7000000,Nissan,X-Trail
Павлодар,2014,седан,2.0,80000,робот,слева,серый металлик,полный привод,Да,бензин,10500000,Mercedes-Benz,CLA 250
Нур-Султан (Астана),2006,хэтчбек,1.0,202000,автомат,слева,серебристый,передний привод,Нет,бензин,1450000,Opel,Corsa
Нур-Султан (Астана),2015,минивэн,1.6,250000,механика,слева,серебристый,передний привод,Да,газ-бензин,3500000,ВАЗ (Lada),Largus
Кокшетау,2014,седан,1.4,125000,автомат,слева,белый,передний привод,Да,бензин,4300000,Hyundai,Accent
Актау,2011,седан,3.5,129000,типтроник,слева,белый металлик,передний привод,Да,бензин,8400000,Lexus,ES 350
Кокшетау,2007,внедорожник,4.7,240000,автомат,слева,серебристый металлик,полный привод,Да,газ-бензин,10300000,Toyota,Land Cruiser
Шымкент,2013,хэтчбек,1.6,125000,типтроник,слева,белый,передний привод,Да,бензин,5700000,Kia,Cee’d
Алматы,2001,внедорожник,2.7,300000,автомат,справа,зеленый,полный привод,Да,бензин,4200000,Toyota,Hilux Surf
Алматы,2019,седан,1.6,14500,вариатор,слева,серебристый металлик,передний привод,Да,бензин,9500000,Toyota,Corolla
Кокшетау,2006,хэтчбек,1.5,115000,механика,слева,серый,передний привод,Нет,бензин,1100000,ВАЗ (Lada),2114 (хэтчбек)
Алматы,2018,минивэн,3.6,53127,автомат,слева,серый,полный привод,Да,бензин,17500000,Dodge,Caravan
Алматы,2014,внедорожник,3.0,113000,автомат,слева,черный металлик,полный привод,Да,бензин,16900000,Rover,Land Discovery
Актобе,2007,кроссовер,3.5,270000,автомат,слева,вишня металлик,полный привод,Нет,бензин,5600000,Toyota,Highlander
Алматы,2018,кроссовер,2.0,29300,автомат,слева,белый металлик,полный привод,Да,бензин,9700000,Kia,Sportage
Алматы,2009,седан,3.0,230000,автомат,слева,серый металлик,задний привод,Да,бензин,7700000,Mercedes-Benz,E 300
Петропавловск,2015,кроссовер,1.4,42000,автомат,слева,серый,,Да,бензин,7600000,Volkswagen,Tiguan
Нур-Султан (Астана),2005,седан,2.5,295000,автомат,слева,черный,полный привод,Да,бензин,3600000,Subaru,Legacy
Алматы,2005,седан,2.4,240000,автомат,слева,золотистый металлик,передний привод,Да,газ-бензин,4300000,Toyota,Camry
Уральск,2007,внедорожник,5.4,192000,автомат,слева,белый,полный привод,Да,бензин,7000000,Lincoln,Navigator
Алматы,2011,купе,6.0,26000,типтроник,слева,черный металлик,полный привод,Да,бензин,34000000,Bentley,Continental GT
Петропавловск,2008,хэтчбек,1.6,202000,механика,слева,коричневый металлик,передний привод,Нет,газ-бензин,930000,ВАЗ (Lada),2114 (хэтчбек)
Нур-Султан (Астана),2014,кроссовер,2.0,97853,автомат,слева,черный,полный привод,Да,бензин,7800000,Hyundai,Tucson
Караганда,1995,фургон,2.2,550000,механика,слева,белый,задний привод,Да,дизель,1400000,Mazda,Bongo
Алматы,2015,купе,4.7,37000,автомат,слева,белый,полный привод,Да,бензин,40000000,Mercedes-Benz,S 500
Шымкент,2018,седан,2.0,56000,автомат,слева,белый металлик,передний привод,Да,бензин,7750000,Renault Samsung,SM7
Рудный,2020,лифтбек,1.6,1800,механика,слева,серебристый,передний привод,Нет,бензин,2650000,ВАЗ (Lada),2191 (лифтбек)
Алматы,2005,кроссовер,4.4,200,типтроник,слева,черный,полный привод,Да,бензин,4500000,Rover,Land Range 
Караганда,2011,минивэн,2.4,221500,автомат,слева,белый,задний привод,Да,бензин,6970000,Hyundai,H-1
Нур-Султан (Астана),1985,седан,2.3,300000,механика,слева,серебристый металлик,передний привод,Да,бензин,500000,Audi,100
Кокшетау,2009,внедорожник,3.5,140000,автомат,слева,серый металлик,полный привод,Да,бензин,8000000,Honda,Pilot
Караганда,2008,кроссовер,3.0,130000,типтроник,слева,серый металлик,полный привод,Да,дизель,8690000,BMW,X5
Уральск,2013,седан,1.6,144000,автомат,слева,черный,передний привод,Да,бензин,4600000,Kia,Cerato
Петропавловск,2012,кроссовер,2.0,210,механика,слева,,,Нет,дизель,1950000,SsangYong,Kyron
Алматы,2013,седан,1.8,142000,автомат,слева,черный металлик,передний привод,Да,бензин,5390000,Volkswagen,Passat
Алматы,2014,седан,2.0,85000,автомат,слева,белый металлик,передний привод,Да,бензин,9650000,Audi,A6
Кызылорда,2011,хэтчбек,1.5,80000,механика,слева,синий металлик,,Нет,бензин,1500000,ВАЗ (Lada),2114 (хэтчбек)
Нур-Султан (Астана),2002,универсал,2.5,305774,автомат,слева,,,Да,бензин,4100000,Subaru,Forester
Павлодар,2011,хэтчбек,1.6,185000,механика,слева,черный,передний привод,Нет,бензин,690000,ВАЗ (Lada),2114 (хэтчбек)
Нур-Султан (Астана),2020,кроссовер,2.0,10000,автомат,слева,серебристый металлик,полный привод,Да,бензин,12500000,Hyundai,Tucson
Жанаозен,2012,седан,2.5,168980,автомат,справа,черный,,Нет,бензин,5050000,Toyota,Camry
Алматы,2020,седан,2.0,400,автомат,слева,,передний привод,Да,бензин,11400000,Kia,K5
Актобе,2019,кроссовер,1.6,2900,вариатор,слева,серый металлик,передний привод,Да,бензин,7500000,Renault,Kaptur
Шымкент,2015,кроссовер,2.4,90000,автомат,слева,белый,полный привод,Да,бензин,8000000,Kia,Sportage
Нур-Султан (Астана),2008,внедорожник,4.7,145000,типтроник,слева,черный металлик,полный привод,Да,газ-бензин,14000000,Toyota,Land Cruiser
Алматы,2001,седан,3.0,216000,автомат,справа,белый металлик,передний привод,Да,бензин,4500000,Toyota,Windom
Шымкент,2004,седан,3.0,250000,автомат,справа,белый,задний привод,Нет,бензин,2500000,Toyota,Aristo
Алматы,1994,седан,2.0,312410,механика,слева,белый металлик,задний привод,Да,бензин,1850000,BMW,520
Нур-Султан (Астана),2014,седан,2.5,105000,автомат,слева,черный,передний привод,Да,бензин,9600000,Toyota,Camry
Алматы,2017,седан,2.0,82000,автомат,слева,черный металлик,передний привод,Да,бензин,8500000,Hyundai,Sonata
Атырау,2015,пикап,2.5,150000,механика,слева,,полный привод,Да,дизель,10300000,Toyota,Hilux
Нур-Султан (Астана),2018,седан,2.5,18000,автомат,слева,белый,передний привод,Да,бензин,12500000,Toyota,Camry
Алматы,2014,седан,1.6,67000,типтроник,слева,белый металлик,передний привод,Да,бензин,5300000,Kia,Rio
Алматы,2014,кроссовер,2.0,86000,автомат,слева,белый,полный привод,Да,бензин,7550000,Kia,Sportage
Алматы,2001,внедорожник,5.0,437000,типтроник,слева,белый металлик,полный привод,Да,бензин,11000000,Mercedes-Benz,G 500
Нур-Султан (Астана),2005,хэтчбек,1.6,196268,механика,слева,черный,передний привод,Нет,бензин,750000,ВАЗ (Lada),2114 (хэтчбек)
Алматы,1996,микроавтобус,2.8,361614,автомат,справа,зеленый металлик,полный привод,Да,дизель,3700000,Mitsubishi,Delica
Шымкент,2011,седан,1.8,131000,автомат,слева,черный,передний привод,Да,газ-бензин,2800000,Opel,Astra
Уральск,1999,кроссовер,2.0,190000,механика,слева,черный металлик,полный привод,Нет,бензин,2400000,Honda,CR-V
Алматы,1998,седан,3.0,230000,автомат,слева,серебристый металлик,задний привод,Да,бензин,4000000,Lexus,GS 300
Караганда,1989,хэтчбек,2.0,505000,механика,слева,красный металлик,передний привод,Да,бензин,1300000,Mazda,626
Алматы,2005,кроссовер,2.4,216424,автомат,слева,красный,полный привод,Да,бензин,4000000,Mitsubishi,Outlander
Кызылорда,2000,седан,1.5,7777777,механика,слева,зеленый,передний привод,Да,бензин,1000000,Kia,Shuma
Павлодар,2014,кроссовер,2.0,89000,механика,слева,белый,полный привод,Да,бензин,4300000,Renault,Duster
Нур-Султан (Астана),2015,седан,2.5,83500,автомат,слева,черный металлик,передний привод,Да,бензин,10100000,Toyota,Camry
Семей,2007,седан,1.6,75000,механика,слева,белый,задний привод,Да,бензин,900000,ВАЗ (Lada),2107
Алматы,2001,седан,2.0,137000,механика,слева,черный металлик,полный привод,Да,бензин,4100000,Subaru,Impreza WRX STi
Актау,2005,кроссовер,2.7,235000,автомат,слева,золотистый металлик,полный привод,Да,газ-бензин,4150000,Kia,Sportage
Усть-Каменогорск,2018,кроссовер,3.0,8000,типтроник,слева,черный,полный привод,Да,бензин,11000000,Chevrolet,Captiva
Нур-Султан (Астана),1998,седан,3.0,292000,автомат,слева,черный металлик,задний привод,Нет,бензин,2500000,Lexus,GS 300
Жезказган,1990,седан,2.6,77777,автомат,слева,серый металлик,задний привод,Да,бензин,1555000,Mercedes-Benz,E 260
Нур-Султан (Астана),2002,хэтчбек,1.5,210000,автомат,справа,серебристый металлик,передний привод,Нет,бензин,2000000,Toyota,Corolla
Нур-Султан (Астана),2013,хэтчбек,1.6,100000,механика,слева,белый,передний привод,Да,бензин,2200000,ВАЗ (Lada),2114 (хэтчбек)
Алматы,2020,кроссовер,2.0,12000,автомат,слева,черный,полный привод,Да,бензин,17300000,Toyota,RAV 4
Атырау,2006,седан,3.5,132000,автомат,справа,серый,полный привод,Нет,бензин,2750000,Toyota,Crown
Алматы,2006,седан,2.4,243000,автомат,слева,серый,передний привод,Да,бензин,4700000,Toyota,Camry
Актау,2019,кроссовер,2.5,13800,автомат,слева,белый металлик,полный привод,Да,бензин,14500000,Hyundai,Santa Fe
Нур-Султан (Астана),1997,хэтчбек,1.6,281000,механика,слева,синий металлик,передний привод,Да,бензин,1700000,Mitsubishi,Carisma
Нур-Султан (Астана),2013,кроссовер,3.0,114000,типтроник,слева,серый металлик,полный привод,Да,бензин,6400000,Chevrolet,Captiva
Караганда,2020,кроссовер,2.0,14000,механика,слева,белый металлик,,Да,бензин,12800000,Toyota,RAV 4
Караганда,2013,кроссовер,2.7,120880,автомат,слева,коричневый металлик,полный привод,Да,бензин,11500000,Toyota,Venza
Костанай,2011,седан,1.3,150000,механика,слева,черный металлик,передний привод,Нет,бензин,850000,ЗАЗ,Chance
Караганда,2000,универсал,1.8,293000,типтроник,слева,серый,,Да,бензин,2000000,Volkswagen,Passat
Костанай,2011,кроссовер,3.5,73000,автомат,слева,черный металлик,полный привод,Да,бензин,12650000,Toyota,Highlander
Алматы,1998,универсал,2.799,334852,автомат,слева,серебристый металлик,,Да,бензин,3200000,Mercedes-Benz,E 280
Костанай,2008,пикап,2.5,333333,механика,слева,серебристый металлик,полный привод,Да,дизель,3700000,Mitsubishi,L200
Павлодар,2000,универсал,2.8,231000,автомат,слева,синий металлик,полный привод,Да,бензин,2800000,Audi,A6
Актау,2017,кроссовер,3.5,30000,автомат,слева,белый металлик,,Да,бензин,19000000,Lexus,RX 350
Актобе,2007,минивэн,3.0,176000,автомат,справа,серебристый металлик,полный привод,Нет,газ-бензин,4500000,Toyota,Alphard
Алматы,2011,седан,1.8,127000,автомат,слева,белый,передний привод,Да,бензин,4800000,Toyota,Corolla
Нур-Султан (Астана),2005,седан,1.5,124000,механика,слева,серебристый,передний привод,Нет,бензин,780000,ВАЗ (Lada),2115 (седан)
Алматы,2007,седан,5.5,111111,типтроник,слева,белый,задний привод,Да,бензин,6200000,Mercedes-Benz,S 550
Нур-Султан (Астана),2019,седан,2.0,13785,автомат,слева,,полный привод,Да,бензин,19900000,Mercedes-Benz,E 200
Уральск,2009,седан,2.4,233000,автомат,слева,черный,передний привод,Нет,бензин,4500000,Toyota,Camry
Караганда,2013,кроссовер,3.5,95600,автомат,слева,черный,полный привод,Да,газ-бензин,13900000,Toyota,Highlander
Абай (Абайский р-н),2007,фургон,2.4,273446,механика,слева,серебристый,задний привод,Да,дизель,3200000,Ford,Transit
Нур-Султан (Астана),2013,седан,1.6,74000,автомат,слева,серебристый,передний привод,Да,бензин,4350000,Kia,Rio
Нур-Султан (Астана),2013,седан,1.6,145000,автомат,слева,серый металлик,передний привод,Да,бензин,4750000,Kia,Cee’d
Алматы,2020,седан,1.6,7900,типтроник,слева,белый,,Да,бензин,7600000,Hyundai,Elantra
Шымкент,2013,хэтчбек,1.6,105000,механика,слева,белый,передний привод,Да,бензин,2000000,ВАЗ (Lada),2114 (хэтчбек)
Аральск,2002,седан,1.5,377000,механика,слева,серебристый,,Да,бензин,400000,ВАЗ (Lada),21099 (седан)
Алматы,2005,седан,1.5,150000,механика,слева,вишня,передний привод,Нет,бензин,600000,Daewoo,Nexia
Алматы,2006,седан,3.5,240000,вариатор,слева,зеленый,передний привод,Да,бензин,3400000,Nissan,Teana
Шымкент,2018,седан,1.6,50000,вариатор,слева,белый,передний привод,Да,бензин,8500000,Toyota,Corolla
Алматы,1998,седан,2.0,365800,автомат,справа,синий металлик,передний привод,Да,бензин,2080000,Subaru,Legacy
Есик,2001,минивэн,2.2,450000,механика,слева,черный металлик,передний привод,Да,газ-бензин,1800000,Opel,Zafira
Уральск,2010,седан,1.5,170000,механика,слева,черный металлик,передний привод,Нет,бензин,1000000,Daewoo,Nexia
Нур-Султан (Астана),1992,седан,1.8,138000,механика,слева,синий,передний привод,Да,бензин,750000,Volkswagen,Golf
Алматы,1997,внедорожник,3.0,299999,автомат,справа,синий,полный привод,Да,дизель,4500000,Toyota,Land Cruiser Prado
Кызылорда,2007,внедорожник,4.0,19000,автомат,слева,белый металлик,полный привод,Да,газ-бензин,9800000,Toyota,Land Cruiser Prado
Караганда,2010,хэтчбек,1.0,134000,автомат,слева,,передний привод,Да,бензин,2900000,Chevrolet,Spark
Нур-Султан (Астана),2008,седан,1.6,167000,механика,слева,красный,передний привод,Нет,газ-бензин,1100000,Daewoo,Nexia
Нур-Султан (Астана),2014,седан,1.4,130000,автомат,слева,серебристый металлик,передний привод,Да,бензин,4200000,Kia,Rio
Костанай,1995,седан,3.2,315000,автомат,слева,белый,задний привод,Да,бензин,2650000,Mercedes-Benz,S 320
Шымкент,2014,седан,1.6,109000,механика,слева,черный,передний привод,Да,бензин,2100000,ВАЗ (Lada),2190 (седан)
Алматы,2012,седан,2.5,267,автомат,слева,черный металлик,передний привод,Нет,бензин,6500000,Toyota,Camry
Алматы,2018,седан,1.6,33000,вариатор,слева,серый металлик,передний привод,Да,бензин,8000000,Toyota,Corolla
Нур-Султан (Астана),2014,хэтчбек,1.4,73000,автомат,слева,синий металлик,передний привод,Да,бензин,4300000,Kia,Rio
Петропавловск,2007,универсал,2.4,135000,автомат,слева,черный металлик,полный привод,Да,газ-бензин,7100000,Honda,CR-V
Актобе,1994,седан,2.0,150000,механика,слева,белый металлик,передний привод,Да,газ-бензин,850000,Nissan,Primera
Алматы,1997,седан,2.5,66666,автомат,справа,синий,передний привод,Да,бензин,1000000,Nissan,Cefiro
Нур-Султан (Астана),2014,седан,1.4,147000,автомат,слева,вишня,передний привод,Да,бензин,4000000,Hyundai,Accent
Уральск,2012,седан,2.0,143000,автомат,слева,белый металлик,передний привод,Нет,бензин,3800000,Kia,Optima
Талгар,1992,седан,2.0,357000,механика,слева,серый,полный привод,Да,бензин,1000000,Subaru,Legacy
Алматы,2006,внедорожник,3.7,195000,автомат,слева,серебристый металлик,полный привод,Да,бензин,4700000,Jeep,Liberty
Нур-Султан (Астана),2008,кроссовер,2.4,151000,автомат,слева,бежевый металлик,полный привод,Да,бензин,3700000,Suzuki,Grand Vitara
Шымкент,2002,седан,3.2,198700,типтроник,слева,серебристый,задний привод,Да,бензин,4000000,Mercedes-Benz,E 320
Актобе,1993,седан,3.0,300000,автомат,слева,коричневый металлик,задний привод,Да,газ-бензин,1200000,Mercedes-Benz,E 300
Нур-Султан (Астана),2010,кроссовер,2.0,130,автомат,слева,серый металлик,полный привод,Да,дизель,5200000,Hyundai,Tucson
Алматы,1999,универсал,1.3,245000,автомат,справа,синий металлик,передний привод,Да,бензин,1930000,Mazda,323
Костанай,2005,седан,1.5,199300,механика,слева,серый металлик,передний привод,Нет,бензин,760000,ВАЗ (Lada),2115 (седан)
Форт-Шевченко,2014,седан,1.6,119000,механика,слева,серебристый,передний привод,Да,газ-бензин,2450000,Renault,Logan
Нур-Султан (Астана),1999,седан,3.0,330000,механика,слева,коричневый,передний привод,Да,бензин,2300000,Nissan,Maxima
Нур-Султан (Астана),2019,кроссовер,2.4,21000,автомат,слева,белый металлик,полный привод,Да,бензин,14800000,Kia,Sorento
Костанай,2019,микровэн,1.6,12392,механика,слева,черный,передний привод,Да,бензин,4500000,ВАЗ (Lada),Largus
Актобе,2006,седан,2.0,250000,автомат,слева,серый металлик,,Да,бензин,3100000,Volkswagen,Passat
Шымкент,2007,фургон,2.9,221000,механика,слева,белый,задний привод,Нет,газ-бензин,2400000,ГАЗГАЗель,
Алматы,2012,кроссовер,1.6,100000,вариатор,слева,коричневый,передний привод,Да,бензин,3900000,Nissan,Juke
Алматы,1994,универсал,2.0,25000,автомат,справа,зеленый,полный привод,Да,бензин,1250000,Toyota,Caldina
Алматы,2015,хэтчбек,2.0,69000,автомат,слева,белый,полный привод,Да,бензин,12000000,Volkswagen,Golf
Рудный,2019,хэтчбек,1.6,40000,автомат,слева,белый металлик,,Нет,бензин,5800000,Kia,Cee’d
Нур-Султан (Астана),2004,внедорожник,4.6,370000,автомат,слева,,,Да,газ-бензин,7000000,Toyota,Land Cruiser
Нур-Султан (Астана),2004,микровэн,2.0,220,автомат,слева,серебристый,передний привод,Да,бензин,1700000,Renault,Scenic
Караганда,2016,внедорожник,2.0,29000,автомат,слева,черный металлик,полный привод,Да,дизель,6200000,SsangYong,Nomad
Актобе,2008,седан,1.6,166000,механика,слева,вишня,передний привод,Нет,бензин,930000,ВАЗ (Lada),2170 (седан)
Уральск,2014,хэтчбек,1.6,66754,типтроник,слева,черный,передний привод,Да,бензин,5000000,Hyundai,i30
Рудный,2002,седан,2.0,200000,автомат,слева,,передний привод,Нет,бензин,1600000,Volkswagen,Jetta
Нур-Султан (Астана),2013,внедорожник,1.7,70000,механика,слева,серебристый металлик,полный привод,Да,бензин,2750000,Chevrolet,Niva
Нур-Султан (Астана),1996,седан,1.6,222222,механика,слева,серебристый металлик,передний привод,Да,бензин,1400000,Opel,Vectra
Атырау,2008,седан,1.6,210000,механика,слева,черный,передний привод,Да,бензин,2300000,Ford,Focus
Нур-Султан (Астана),1992,хэтчбек,1.8,290000,автомат,слева,черный металлик,передний привод,Да,бензин,1350000,Volkswagen,Golf
Атырау,2008,хэтчбек,1.5,178563,механика,слева,черный металлик,передний привод,Нет,бензин,790000,ВАЗ (Lada),2114 (хэтчбек)
Алматы,2008,внедорожник,4.7,151084,автомат,слева,серебристый металлик,полный привод,Да,бензин,13300000,Toyota,Land Cruiser
Алматы,2008,внедорожник,2.7,127000,автомат,слева,белый металлик,полный привод,Да,бензин,9400000,Toyota,Land Cruiser Prado
Алматы,2011,седан,3.0,177000,типтроник,слева,серебристый,задний привод,Да,бензин,9500000,BMW,535
Алматы,2006,седан,3.0,152000,автомат,слева,белый металлик,полный привод,Да,бензин,4528000,Subaru,Legacy
Алматы,2009,седан,2.4,130335,автомат,слева,черный,передний привод,Да,бензин,6500000,Toyota,Camry
Актау,2008,кроссовер,3.0,181000,автомат,слева,черный,,Да,бензин,8500000,BMW,X6
Костанай,2019,внедорожник,4.0,15000,типтроник,слева,белый металлик,полный привод,Да,бензин,26500000,Toyota,Land Cruiser Prado
Караганда,2015,кроссовер,2.0,40000,автомат,слева,,полный привод,Да,бензин,14800000,Lexus,NX 200t
Туркестан,2012,седан,1.0,128627,механика,слева,белый,передний привод,Да,бензин,2500000,Chevrolet,Spark
Семей,1996,минивэн,2.2,3190000,автомат,справа,серый металлик,полный привод,Да,газ-бензин,2100000,Honda,Odyssey
Алматы,2016,кроссовер,2.0,45000,автомат,слева,серый металлик,полный привод,Да,бензин,20400000,Lexus,RX 200t
Атырау,2009,универсал,1.6,205000,механика,слева,серебристый металлик,передний привод,Да,бензин,2700000,Chevrolet,Lacetti
Шымкент,2010,кроссовер,3.0,114000,типтроник,слева,,полный привод,Да,бензин,11000000,BMW,X5
Алматы,1994,седан,2.0,3500,механика,слева,синий металлик,передний привод,Да,бензин,450000,Mazda,Cronos
Караганда,2012,седан,3.0,186000,робот,слева,серый металлик,полный привод,Да,бензин,7800000,Audi,A6
Кокшетау,1996,седан,4.2,333333,автомат,слева,синий,задний привод,Да,бензин,3800000,Mercedes-Benz,S 420
Алматы,2017,седан,2.5,81000,автомат,слева,серебристый,передний привод,Да,бензин,11400000,Toyota,Camry
Усть-Каменогорск,2009,седан,2.0,198000,автомат,слева,серебристый металлик,задний привод,Да,бензин,5500000,Mercedes-Benz,C 200
Семей,1995,седан,2.5,150000,автомат,справа,серый металлик,задний привод,Да,газ-бензин,2100000,Toyota,Cresta
Атырау,2015,седан,2.0,100000,автомат,слева,белый металлик,передний привод,Да,бензин,8400000,Toyota,Camry
Тараз,2013,пикап,2.7,226000,автомат,слева,,,Да,бензин,10000000,Toyota,Hilux
Уральск,2009,седан,4.4,180,типтроник,слева,черный металлик,задний привод,Да,бензин,6200000,BMW,750
Аксукент,1991,седан,2.3,450000,автомат,слева,черный металлик,задний привод,Да,бензин,1500000,Mercedes-Benz,E 230
Алматы,1994,седан,1.6,12315,механика,слева,бордовый металлик,передний привод,Да,бензин,1600000,Toyota,Carina E
Алматы,2014,минивэн,1.6,251000,механика,слева,белый металлик,передний привод,Да,бензин,4000000,ВАЗ (Lada),Largus
Шымкент,1992,хэтчбек,1.8,546888,механика,слева,хамелеон,передний привод,Да,бензин,900000,Opel,Astra
Алматы,2018,кроссовер,2.0,4000,автомат,слева,белый металлик,полный привод,Да,бензин,23000000,BMW,X3
Алматы,1991,хэтчбек,1.8,292400,автомат,слева,белый,передний привод,Да,бензин,1100000,Volkswagen,Golf
Костанай,2004,седан,1.6,300000,механика,слева,зеленый металлик,передний привод,Нет,бензин,580000,Daewoo,Nexia
Нур-Султан (Астана),2005,фургон,2.4,55555,механика,слева,белый металлик,задний привод,Да,газ-бензин,2800000,ГАЗГАЗель,
Шымкент,2004,универсал,1.8,216000,автомат,слева,серебристый металлик,передний привод,Да,бензин,2700000,Opel,Zafira
Нур-Султан (Астана),2010,седан,1.5,135000,механика,слева,вишня металлик,передний привод,Нет,бензин,1250000,Daewoo,Nexia
Нур-Султан (Астана),1990,седан,2.0,310000,механика,слева,белый,передний привод,Да,газ-бензин,1050000,Audi,100
Нур-Султан (Астана),2009,седан,2.0,200000,автомат,слева,черный металлик,передний привод,Нет,бензин,3650000,Audi,A5
Алматы,2011,фургон,2.2,350000,механика,слева,белый металлик,передний привод,Да,дизель,3900000,Ford,Transit
Сарыагаш,1985,седан,2.2,1223455,механика,слева,красный металлик,передний привод,Да,газ-бензин,800000,Audi,100
Нур-Султан (Астана),2018,внедорожник,1.7,768,механика,слева,черный,полный привод,Да,бензин,4350000,ВАЗ (Lada),2131 (5-ти дверный)
Алматы,2006,седан,2.0,264000,механика,слева,,полный привод,Да,бензин,3500000,Subaru,Impreza
Усть-Каменогорск,2017,внедорожник,4.0,14000,вариатор,слева,черный металлик,полный привод,Да,бензин,68000000,Mercedes-Benz, 2017
Алматы,2013,седан,3.5,153000,автомат,слева,хамелеон,полный привод,Да,бензин,12200000,Toyota,Highlander
Алматы,1993,универсал,4.0,195000,автомат,слева,,полный привод,Да,бензин,1800000,Jeep,Grand Cherokee
Костанай,2012,хэтчбек,1.6,110000,механика,слева,черный,передний привод,Нет,бензин,1250000,ВАЗ (Lada),2114 (хэтчбек)
Нур-Султан (Астана),2007,седан,2.5,62000,типтроник,слева,черный металлик,задний привод,Нет,бензин,3800000,BMW,323
Нур-Султан (Астана),2012,кроссовер,1.6,93000,вариатор,слева,красный металлик,передний привод,Да,бензин,4750000,Nissan,Juke
Алматы,2008,седан,4.6,82145,автомат,слева,черный,задний привод,Да,бензин,7500000,Lexus,LS 460
Шымкент,2010,седан,1.6,43,механика,слева,черный,задний привод,Нет,бензин,950000,ВАЗ (Lada),2107
Кызылорда,1989,универсал,1.8,260000,механика,слева,белый металлик,передний привод,Да,бензин,900000,Volkswagen,Passat
Алматы,2005,внедорожник,2.7,350000,автомат,слева,черный металлик,полный привод,Да,бензин,10000000,Toyota,Land Cruiser Prado
Алматы,2019,кроссовер,2.7,18032,автомат,слева,белый металлик,полный привод,Да,бензин,22000000,Toyota,Highlander
Алматы,1996,купе,2.0,118000,механика,слева,синий,передний привод,Да,бензин,1600000,Alfa Romeo,GTV
Алматы,2017,кроссовер,2.0,18500,автомат,слева,черный металлик,полный привод,Да,бензин,30200000,Rover,Land Range  Velar
Нур-Султан (Астана),1996,внедорожник,2.7,200000,автомат,справа,черный металлик,полный привод,Да,дизель,2200000,Nissan,Terrano
Семей,2011,внедорожник,4.6,114000,автомат,слева,черный металлик,полный привод,Да,газ-бензин,14500000,Lexus,GX 460
Сарыагаш,2011,седан,1.6,87000,механика,слева,,передний привод,Нет,бензин,1450000,Daewoo,Nexia
Костанай,2002,минивэн,1.8,180000,механика,слева,,передний привод,Да,бензин,3860000,Toyota,Corolla Verso
Нур-Султан (Астана),2003,седан,1.8,270000,автомат,слева,серебристый,передний привод,Нет,газ-бензин,750000,Nissan,Primera
Костанай,2001,седан,1.5,207000,механика,слева,серебристый,передний привод,Нет,бензин,690000,ВАЗ (Lada),2110 (седан)
Алматы,2002,кроссовер,3.0,341180,автомат,слева,черный,полный привод,Да,бензин,6400000,Toyota,Highlander
Алматы,2010,внедорожник,3.8,305000,автомат,слева,черный,полный привод,Да,газ-бензин,6700000,Kia,Mohave
Усть-Каменогорск,2010,седан,2.0,200000,вариатор,слева,серебристый металлик,передний привод,Да,бензин,4900000,Audi,A4
Уральск,2007,седан,2.4,190000,автомат,слева,серебристый,передний привод,Да,газ-бензин,4900000,Toyota,Camry
Алматы,2012,седан,1.6,155000,автомат,слева,белый металлик,передний привод,Да,бензин,5200000,Hyundai,Elantra
Шымкент,2006,минивэн,2.2,160000,механика,слева,сиреневый,передний привод,Нет,бензин,3000000,Opel,Zafira
Павлодар,1993,седан,2.8,306000,автомат,слева,серебристый металлик,задний привод,Да,бензин,2500000,Mercedes-Benz,C 280
Шымкент,2020,микровэн,1.0,12300,типтроник,слева,белый металлик,передний привод,Да,бензин,5600000,Kia,Ray
Темиртау,2011,купе,1.6,111,механика,слева,зеленый металлик,передний привод,Нет,бензин,860000,ВАЗ (Lada),2113 (хэтчбек)
Нур-Султан (Астана),1995,универсал,2.0,310904,механика,слева,черный металлик,передний привод,Нет,бензин,1900000,Volkswagen,Passat
Алматы,2014,седан,1.5,130000,механика,слева,синий металлик,передний привод,Да,бензин,2790000,Daewoo,Gentra
Шымкент,2005,седан,1.6,145000,механика,слева,,передний привод,Нет,бензин,880000,Daewoo,Nexia
